"persoonsgebonden_nummer";"inschrijvingsjaar";"opleidingsvorm";"eerste_jaar_aan_deze_instelling";"eerste_jaar_in_het_hoger_onderwijs";"eerste_jaar_aan_deze_opleiding_instelling";"diplomajaar_hoogste_vooropleiding";"geslacht";"leeftijd_per_peildatum_1_oktober";"postcodecijfers_student_op_1_oktober";"soort_inschrijving_continu_hoger_onderwijs";"indicatie_eerstejaars_continu_type_ho_binnen_ho";"datum_inschrijving";"opleidingscode_naam_opleiding";"hoogste_vooropleiding_omschrijving_vooropleiding"
64847;2009;"voltijd";2009;2009;2009;"1995";"vrouw";18;"1011";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"B Tandheelkunde";"vwo algemeen"
64847;2010;"voltijd";2009;2009;2009;"1995";"vrouw";18;"1011";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"B Tandheelkunde";"vwo algemeen"
64847;2012;"voltijd";2009;2009;2012;"2006";"vrouw";21;"2572";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130301;"M Tandheelkunde";"vwo profiel cultuur & maatschappij"
64847;2013;"voltijd";2009;2009;2012;"2006";"vrouw";21;"2572";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130301;"M Tandheelkunde";"vwo profiel cultuur & maatschappij"
64847;2014;"voltijd";2009;2009;2012;"2006";"vrouw";23;"2572";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20140901;"M Tandheelkunde";"vwo profiel cultuur & maatschappij"
64876;2011;"voltijd";2009;2009;2009;"2008";"vrouw";22;"2161";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"vwo profiel natuur & gezondheid"
64876;2015;"voltijd";2009;2009;2012;"2010";"vrouw";26;"1183";"inschrijving is niet actief in het betreffende inschrijvingsjaar";"inschrijving heeft soort inschrijving continu type ho binnen ho van 3 4 of 5 (of 8 9 C D E)";20150901;"M Tandheelkunde";"vwo profiel natuur/techniek & natuur/gezondheid"
64940;2009;"voltijd";2008;2008;2008;"2005";"vrouw";19;"3738";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"B Tandheelkunde";"vwo profiel economie & maatschappij"
64966;2012;"voltijd";2012;2010;2012;"2015";"vrouw";21;"1111";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20120901;"B Tandheelkunde";"wo-ba natuur"
64966;2016;"voltijd";2012;2010;2014;"2012";"vrouw";25;"2525";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20160901;"M Tandheelkunde";"wo-ba natuur"
64984;2011;"voltijd";2009;2009;2010;"2003";"man";19;"1315";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"vwo profiel cultuur & maatschappij"
64985;2009;"voltijd";2009;2009;2009;"2003";"man";19;"1063";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"B Tandheelkunde";"wo-p gezondheidszorg"
65020;2014;"voltijd";2009;2009;2013;"1999";"vrouw";23;"3446";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20140901;"M Tandheelkunde";"wo-p recht"
65020;2015;"voltijd";2009;2009;2013;"1999";"vrouw";24;"3446";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20150901;"M Tandheelkunde";"wo-p recht"
65037;2009;"voltijd";2009;2009;2009;"2019";"vrouw";18;"1823";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"B Tandheelkunde";"vwo profiel natuur & gezondheid"
65071;2016;"voltijd";2012;2009;2014;"2001";"man";23;"3811";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20160901;"M Tandheelkunde";"hbo-ba economie"
65144;2016;"voltijd";2011;2009;2014;"2017";"man";26;"2172";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20160901;"M Tandheelkunde";"hbo-ba gezondheidszorg"
65202;2010;"voltijd";2010;2010;2010;"2006";"vrouw";19;"";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20100901;"B Tandheelkunde";"vwo profiel economie & maatschappij"
65202;2012;"voltijd";2010;2010;2010;"2006";"vrouw";21;"";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20120901;"B Tandheelkunde";"vwo profiel economie & maatschappij"
65202;2014;"voltijd";2010;2010;2013;"2002";"vrouw";23;"woonachtig in Duitsland";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20140901;"M Tandheelkunde";"hbo-ba economie"
65210;2010;"voltijd";2010;2010;2010;"2016";"vrouw";21;"woonachtig elders in het buitenland";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20100901;"B Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
65210;2011;"voltijd";2010;2010;2010;"2016";"vrouw";21;"woonachtig elders in het buitenland";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20100901;"B Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
65210;2014;"voltijd";2010;2010;2013;"2022";"vrouw";25;"1531";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20140901;"M Tandheelkunde";"wo-ba gedrag en maatschappij"
65210;2015;"voltijd";2010;2010;2013;"2022";"vrouw";26;"1531";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20150901;"M Tandheelkunde";"wo-ba gedrag en maatschappij"
65224;2015;"voltijd";2010;2009;2015;"2012";"man";25;"1092";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20150901;"M Tandheelkunde";"overig beschikking College van Bestuur"
65295;2011;"voltijd";2009;2009;2009;"2021";"man";20;"1064";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"vwo profiel natuur & techniek"
65295;2016;"voltijd";2009;2009;2014;"2015";"man";25;"1061";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20160901;"M Tandheelkunde";"hbo-ba techniek"
65297;2010;"voltijd";2009;2009;2009;"2001";"vrouw";19;"1213";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20100901;"B Tandheelkunde";"vwo profiel natuur & gezondheid"
65297;2013;"voltijd";2009;2009;2012;"2007";"vrouw";22;"2313";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"M Tandheelkunde";"wo-ba taal en cultuur"
65297;2015;"voltijd";2009;2009;2012;"2007";"vrouw";24;"2313";"inschrijving is niet actief in het betreffende inschrijvingsjaar";"inschrijving heeft soort inschrijving continu type ho binnen ho van 3 4 of 5 (of 8 9 C D E)";20150901;"M Tandheelkunde";"wo-ba taal en cultuur"
65302;2012;"voltijd";2010;2010;2011;"2015";"vrouw";22;"2713";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20120901;"B Tandheelkunde";"vwo profiel economie & maatschappij"
65302;2015;"voltijd";2010;2010;2014;"2005";"vrouw";25;"2134";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20150901;"M Tandheelkunde";"hbo-ba economie"
65332;2010;"voltijd";2009;2009;2009;"2005";"man";19;"";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20100901;"B Tandheelkunde";"vwo profiel natuur & gezondheid"
65357;2011;"voltijd";2011;2011;2011;"2004";"man";19;"1059";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"vwo profiel economie & maatschappij"
65357;2012;"voltijd";2011;2011;2011;"2004";"man";19;"1059";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"vwo profiel economie & maatschappij"
65360;2009;"voltijd";2008;2008;2008;"2006";"man";17;"1103";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"B Tandheelkunde";"vwo profiel economie & maatschappij"
65360;2011;"voltijd";2008;2008;2008;"2006";"man";19;"1103";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"vwo profiel economie & maatschappij"
65360;2012;"voltijd";2008;2008;2012;"2009";"man";20;"1102";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20120901;"M Tandheelkunde";"vwo profiel economie & maatschappij"
65361;2012;"voltijd";2009;2009;2012;"2011";"man";23;"1183";"neveninschrijving binnen het domein hoger onderwijs (combinatie opleiding-instelling komt NIET voor bij een andere inschrijving van de betreffende student) (echte neveninschrijving)";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130301;"M Tandheelkunde";"hbo-ba techniek"
65361;2014;"voltijd";2009;2009;2012;"2011";"man";25;"1183";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20140901;"M Tandheelkunde";"hbo-ba techniek"
65361;2016;"voltijd";2009;2009;2012;"2011";"man";27;"1183";"inschrijving is niet actief in het betreffende inschrijvingsjaar";"inschrijving heeft soort inschrijving continu type ho binnen ho van 3 4 of 5 (of 8 9 C D E)";20160901;"M Tandheelkunde";"hbo-ba techniek"
65362;2019;"voltijd";2010;2009;2019;"1992";"vrouw";27;"1319";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20190901;"B Tandheelkunde";"wo-p taal en cultuur"
65389;2009;"voltijd";2009;2009;2009;"2020";"vrouw";19;"2024";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"B Tandheelkunde";"vwo profiel natuur/techniek & natuur/gezondheid"
65389;2011;"voltijd";2009;2009;2009;"2020";"vrouw";21;"2024";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"vwo profiel natuur/techniek & natuur/gezondheid"
65389;2014;"voltijd";2009;2009;2012;"2014";"vrouw";24;"2021";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20140901;"M Tandheelkunde";"wo-ba gezondheidszorg"
65439;2009;"voltijd";2009;2009;2009;"2019";"man";19;"1314";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"B Tandheelkunde";"vwo profiel natuur & gezondheid"
65439;2013;"voltijd";2009;2009;2012;"2021";"man";23;"1183";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"M Tandheelkunde";"wo-ba economie"
65439;2014;"voltijd";2009;2009;2012;"2021";"man";24;"1183";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20140901;"M Tandheelkunde";"wo-ba economie"
65439;2015;"voltijd";2009;2009;2012;"2021";"man";25;"1183";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20150901;"M Tandheelkunde";"wo-ba economie"
65453;2013;"voltijd";2011;2009;2011;"2000";"vrouw";20;"1078";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"B Tandheelkunde";"wo-p taal en cultuur"
65453;2014;"voltijd";2011;2009;2011;"2000";"vrouw";21;"1078";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20140901;"B Tandheelkunde";"wo-p taal en cultuur"
65453;2016;"voltijd";2011;2009;2015;"2014";"vrouw";23;"2493";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20160901;"M Tandheelkunde";"wo-ba gedrag en maatschappij"
65453;2018;"voltijd";2011;2009;2015;"2014";"vrouw";25;"2493";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20180901;"M Tandheelkunde";"wo-ba gedrag en maatschappij"
65467;2015;"voltijd";2009;2009;2013;"2014";"vrouw";24;"8225";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20150901;"M Tandheelkunde";"wo-ba gezondheidszorg"
65543;2011;"voltijd";2009;2009;2009;"2021";"vrouw";18;"2807";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"vwo profiel natuur/techniek & natuur/gezondheid"
65571;2011;"voltijd";2009;2009;2010;"2010";"man";21;"1093";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"vwo profiel natuur & gezondheid"
65586;2013;"voltijd";2009;2009;2012;"2006";"man";23;"1016";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"M Tandheelkunde";"overig beschikking College van Bestuur"
65586;2014;"voltijd";2009;2009;2012;"2006";"man";24;"1016";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20140901;"M Tandheelkunde";"overig beschikking College van Bestuur"
65590;2016;"voltijd";2010;2010;2013;"2015";"vrouw";25;"1058";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20160901;"M Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
65605;2009;"voltijd";2009;2009;2009;"2011";"vrouw";18;"1183";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"B Tandheelkunde";"vwo profiel natuur & techniek"
65605;2010;"voltijd";2009;2009;2009;"2011";"vrouw";18;"1183";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"B Tandheelkunde";"vwo profiel natuur & techniek"
65605;2012;"voltijd";2009;2009;2012;"2017";"vrouw";21;"woonachtig elders in het buitenland";"neveninschrijving binnen het domein hoger onderwijs (combinatie opleiding-instelling komt NIET voor bij een andere inschrijving van de betreffende student) (echte neveninschrijving)";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130501;"M Tandheelkunde";"vwo profiel economie & maatschappij"
65609;2013;"voltijd";2012;2012;2012;"2006";"man";24;"2317";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"B Tandheelkunde";"vwo profiel natuur & techniek"
65622;2019;"voltijd";2019;2009;2019;"1962";"man";30;"1183";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20190901;"B Tandheelkunde";"vwo algemeen"
65622;2023;"voltijd";2019;2009;2022;"2007";"man";34;"1011";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20230901;"M Tandheelkunde";"hbo-ba economie"
65685;2014;"voltijd";2010;2009;2013;"2018";"vrouw";21;"1432";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20140901;"M Tandheelkunde";"wo-ba recht"
65694;2016;"voltijd";2011;2010;2014;"2014";"vrouw";24;"1814";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20160901;"M Tandheelkunde";"wo-ba gedrag en maatschappij"
65703;2010;"voltijd";2009;2009;2009;"2003";"man";17;"7433";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20100901;"B Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
65703;2017;"voltijd";2009;2009;2009;"2003";"man";24;"7433";"inschrijving is niet actief in het betreffende inschrijvingsjaar";"inschrijving heeft soort inschrijving continu type ho binnen ho van 3 4 of 5 (of 8 9 C D E)";20170901;"B Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
65728;2012;"voltijd";2011;2010;2012;"2018";"man";19;"";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20120901;"B Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
65729;2009;"voltijd";2009;2009;2009;"1996";"man";18;"1064";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"B Tandheelkunde";"wo-p natuur"
65729;2010;"voltijd";2009;2009;2009;"1996";"man";18;"1064";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"B Tandheelkunde";"wo-p natuur"
65729;2015;"voltijd";2009;2009;2012;"2012";"man";24;"1082";"inschrijving is niet actief in het betreffende inschrijvingsjaar";"inschrijving heeft soort inschrijving continu type ho binnen ho van 3 4 of 5 (of 8 9 C D E)";20150901;"M Tandheelkunde";"wo-ba gedrag en maatschappij"
65731;2016;"voltijd";2014;2009;2014;"2022";"man";26;"1059";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20160901;"M Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
65743;2011;"voltijd";2009;2009;2009;"2018";"vrouw";20;"1312";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"vwo profiel natuur/techniek & natuur/gezondheid"
65743;2014;"voltijd";2009;2009;2012;"2013";"vrouw";23;"1141";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20140901;"M Tandheelkunde";"hbo-ba economie"
