"persoonsgebonden_nummer";"gemiddeld_cijfer_cijferlijst";"afkorting_vak";"cijfer_schoolexamen";"cijfer_eerste_centraal_examen"
14277;71;"lett";82;0
14277;71;"ckv1";NA;0
118442;66;"ne";80;77
118442;66;"fa1";58;60
118442;66;"du1";61;70
118442;66;"en";56;0
118442;66;"gs1";78;0
118442;66;"wb1";58;46
118442;66;"na1";69;0
118442;66;"sk1";63;0
118442;66;"bi12";48;36
118442;66;"ec1";70;0
118442;66;"anw";81;0
118442;66;"ma1";83;82
118442;66;"lo1";NA;0
118442;66;"lett";69;57
118442;66;"ckv1";NA;0
106636;65;"ne";77;76
106636;65;"fa1";56;75
106636;65;"en";68;79
106636;65;"wb1";62;74
106636;65;"na12";60;86
106636;65;"sk";66;0
106636;65;"bi";60;0
106636;65;"ec1";62;56
106636;65;"anw";72;0
106636;65;"ma1";42;0
106636;65;"lo1";NA;0
106636;65;"lett";44;78
106636;65;"ckv1";NA;0
86990;67;"ne";66;49
86990;67;"fa12";70;0
86990;67;"en";62;69
86990;67;"gs";70;0
86990;67;"wa1";68;62
86990;67;"bi";60;0
86990;67;"ec1";60;0
86990;67;"anw";66;83
86990;67;"ma1";66;62
86990;67;"lo1";NA;0
86990;67;"lett";80;0
86990;67;"ckv1";NA;0
86990;67;"mu23";62;71
36580;65;"ne";55;0
36580;65;"du1";70;57
36580;65;"en";70;0
36580;65;"wb1";72;0
36580;65;"na1";59;60
36580;65;"sk";64;70
36580;65;"bi";73;67
36580;65;"ec1";66;67
36580;65;"anw";71;0
36580;65;"ma1";60;56
36580;65;"lo1";NA;0
36580;65;"lett";62;60
36580;65;"ckv1";NA;0
132730;70;"ne";78;63
132730;70;"fa12";69;65
132730;70;"du1";73;0
132730;70;"en";71;48
132730;70;"gs1";68;69
132730;70;"wb1";69;62
132730;70;"na1";68;0
132730;70;"sk1";84;59
132730;70;"bi12";74;54
132730;70;"ec1";71;63
132730;70;"anw";80;70
132730;70;"fi";65;0
132730;70;"ma1";76;0
132730;70;"lo1";NA;0
132730;70;"lett";69;0
132730;70;"ckv1";NA;0
106839;74;"ne";81;69
106839;74;"du";65;73
106839;74;"en";63;57
106839;74;"gs";74;82
106839;74;"ak";64;81
106839;74;"wa";85;82
106839;74;"ee";74;78
102665;68;"ne";65;72
102665;68;"fa1";65;85
102665;68;"du1";73;0
102665;68;"en";56;0
102665;68;"gs1";75;69
102665;68;"wb1";74;0
102665;68;"na1";62;0
102665;68;"sk1";57;71
102665;68;"bi12";68;0
102665;68;"ec1";77;43
102665;68;"anw";77;0
102665;68;"ma1";61;76
102665;68;"lo1";NA;0
102665;68;"lett";68;76
102665;68;"ckv1";NA;0
136588;65;"ne";51;51
136588;65;"la";82;83
136588;65;"fa1";69;84
136588;65;"du1";67;71
136588;65;"en";60;0
136588;65;"gs1";60;0
136588;65;"gs";60;73
136588;65;"ak";65;60
136588;65;"wa12";70;0
136588;65;"ec12";70;0
136588;65;"anw";70;0
136588;65;"ma1";60;0
136588;65;"lo1";NA;0
136588;65;"lett";60;0
136588;65;"kcv";56;65
34463;68;"ne";80;0
34463;68;"fa1";65;56
34463;68;"du1";79;0
34463;68;"en";87;55
34463;68;"gs1";74;70
34463;68;"wb12";80;0
34463;68;"na1";64;48
34463;68;"sk12";80;0
34463;68;"bi12";65;43
34463;68;"ec1";59;0
34463;68;"anw";71;62
34463;68;"ma1";52;52
34463;68;"lo1";NA;0
34463;68;"lett";78;0
34463;68;"ckv1";NA;0
80635;71;"ne";66;68
80635;71;"du1";80;0
80635;71;"en";66;71
80635;71;"gs";76;75
80635;71;"ak";70;0
80635;71;"wa12";76;63
80635;71;"ec12";72;76
80635;71;"m&o";66;0
80635;71;"anw";56;0
80635;71;"ma1";63;72
80635;71;"lo1";NA;0
80635;71;"lett";71;64
80635;71;"ckv1";NA;0
88478;66;"ne";64;65
88478;66;"la";78;60
88478;66;"fa1";70;0
88478;66;"du1";65;75
88478;66;"en";70;0
88478;66;"gs1";70;0
88478;66;"gs";60;0
88478;66;"ak";71;49
88478;66;"wa12";80;0
88478;66;"ec12";70;0
88478;66;"anw";72;59
88478;66;"ma1";60;0
88478;66;"lo1";NA;0
88478;66;"lett";65;59
88478;66;"kcv";65;63
114593;83;"ne";80;80
114593;83;"gr";79;96
114593;83;"fa1";82;82
114593;83;"du1";81;79
114593;83;"en";90;0
114593;83;"gs1";91;78
114593;83;"wb12";80;0
114593;83;"na12";75;77
114593;83;"sk12";90;0
114593;83;"bi12";80;0
114593;83;"ec1";82;85
114593;83;"anw";90;0
114593;83;"ma1";80;0
114593;83;"lo1";NA;0
114593;83;"lett";90;0
114593;83;"kcv";81;74
10804;67;"ne";80;0
10804;67;"fa1";63;68
10804;67;"en";59;61
10804;67;"wb1";55;71
10804;67;"in";68;0
10804;67;"na1";70;0
10804;67;"sk";61;78
10804;67;"bi";71;0
10804;67;"anw";70;67
10804;67;"ma1";55;58
10804;67;"lo1";NA;0
10804;67;"lett";57;0
10804;67;"ckv1";NA;0
68223;67;"ne";69;51
68223;67;"fa12";74;0
68223;67;"du1";64;0
68223;67;"en";70;58
68223;67;"gs1";71;0
68223;67;"gs";63;48
68223;67;"ak";92;0
68223;67;"wa12";60;62
68223;67;"ec12";75;75
68223;67;"anw";79;0
68223;67;"ma1";63;45
68223;67;"lo1";NA;0
68223;67;"lett";69;67
68223;67;"ckv1";NA;0
94580;65;"ne";49;68
94580;65;"fa12";63;66
94580;65;"du1";69;0
94580;65;"en";63;0
94580;65;"gs1";NA;0
94580;65;"gs";56;61
94580;65;"ak";57;51
94580;65;"wa12";88;78
94580;65;"in";59;77
94580;65;"ec12";62;48
94580;65;"anw";NA;0
94580;65;"ma1";NA;0
94580;65;"lo1";NA;0
94580;65;"lett";62;0
94580;65;"ckv1";NA;0
94580;65;"ne";49;68
94580;65;"fa12";63;66
94580;65;"en";63;0
94580;65;"gs";56;61
94580;65;"ak";57;51
94580;65;"wa12";88;78
94580;65;"in";59;77
94580;65;"ec12";62;48
94580;65;"anw";62;75
94580;65;"ma1";65;0
94580;65;"lo1";NA;0
94580;65;"lett";62;0
94580;65;"ckv1";NA;0
63379;74;"ne";65;63
63379;74;"fa1";79;0
63379;74;"du1";73;68
63379;74;"en";76;71
63379;74;"gs1";73;79
63379;74;"gs";68;0
63379;74;"ak";85;83
63379;74;"wa12";78;70
63379;74;"ec12";78;0
63379;74;"m&o";72;0
63379;74;"anw";88;0
63379;74;"ma1";80;0
63379;74;"lo1";NA;0
63379;74;"lett";69;64
63379;74;"ckv1";NA;0
146578;66;"ne";79;64
146578;66;"fa";55;68
146578;66;"du";62;59
146578;66;"en";67;57
146578;66;"wa";71;64
146578;66;"ee";63;60
146578;66;"te";67;75
141886;72;"ne";80;0
141886;72;"fa1";61;70
141886;72;"du1";57;52
141886;72;"en";76;72
141886;72;"gs1";80;0
141886;72;"wb1";73;68
141886;72;"na1";65;77
141886;72;"sk1";80;0
141886;72;"bi12";80;0
141886;72;"te";80;0
141886;72;"anw";80;73
141886;72;"ma1";68;57
141886;72;"lo1";NA;0
141886;72;"lett";70;0
141886;72;"ckv1";NA;0
68615;76;"ne";74;77
68615;76;"fa12";70;0
68615;76;"du12";75;76
68615;76;"en";80;0
68615;76;"gs1";70;0
68615;76;"gs";70;0
68615;76;"ak";90;89
68615;76;"wa1";80;0
68615;76;"anw";71;77
68615;76;"ma1";76;82
68615;76;"lo1";NA;0
68615;76;"lett";78;77
68615;76;"ckv1";NA;0
68615;76;"bv23";72;70
132187;67;"ne";70;0
132187;67;"fa1";70;63
132187;67;"en";70;0
132187;67;"gs";70;0
132187;67;"ak";70;69
132187;67;"wa12";55;52
132187;67;"in";80;0
132187;67;"ec12";59;56
132187;67;"anw";74;65
132187;67;"ma1";63;63
132187;67;"lo1";NA;0
132187;67;"lett";70;0
132187;67;"ckv1";NA;0
101423;67;"ne";70;0
101423;67;"la";73;74
101423;67;"fa1";84;62
101423;67;"du1";60;0
101423;67;"en";72;0
101423;67;"gs1";67;56
101423;67;"gs";64;46
101423;67;"ak";60;0
101423;67;"wa12";66;60
101423;67;"ec12";73;68
101423;67;"m&o";70;0
101423;67;"anw";80;0
101423;67;"ma1";75;77
101423;67;"lo1";NA;0
101423;67;"lett";72;0
101423;67;"kcv";70;0
6081;66;"ne";69;67
6081;66;"fa1";59;60
6081;66;"du1";63;0
6081;66;"en";71;78
6081;66;"gs1";77;0
6081;66;"wb12";74;0
6081;66;"na12";72;67
6081;66;"sk12";70;0
6081;66;"ec1";55;42
6081;66;"anw";65;70
6081;66;"ma1";57;0
6081;66;"lo1";NA;0
6081;66;"lett";68;0
6081;66;"ckv1";NA;0
116955;65;"ne";70;71
116955;65;"fa1";66;59
116955;65;"du1";60;59
116955;65;"en";69;0
116955;65;"gs1";80;0
116955;65;"wb1";64;63
116955;65;"na1";61;46
116955;65;"sk12";67;0
116955;65;"bi12";74;0
116955;65;"ec1";72;0
116955;65;"anw";65;60
116955;65;"ma1";81;0
116955;65;"lo1";NA;0
116955;65;"lett";54;41
116955;65;"ckv1";NA;0
105515;73;"ne";58;70
105515;73;"la";70;0
105515;73;"fa1";90;0
105515;73;"du1";72;68
105515;73;"en";69;67
105515;73;"gs1";71;57
105515;73;"wb1";80;71
105515;73;"na1";80;0
105515;73;"sk1";70;0
105515;73;"bi12";64;80
105515;73;"anw";75;75
105515;73;"fi";80;0
105515;73;"ma1";66;69
105515;73;"lo1";NA;0
105515;73;"lett";70;0
105515;73;"kcv";80;0
63196;65;"ne";59;41
63196;65;"la";64;0
63196;65;"fa1";72;0
63196;65;"du1";82;80
63196;65;"en";59;40
63196;65;"gs1";59;69
63196;65;"wb12";70;0
63196;65;"na12";62;51
63196;65;"sk12";69;32
63196;65;"bi12";74;0
63196;65;"anw";67;70
63196;65;"ma1";82;0
63196;65;"lo1";NA;0
63196;65;"lett";60;0
63196;65;"kcv";81;0
62403;62;"ne";60;0
62403;62;"gr";70;0
62403;62;"fa12";60;0
62403;62;"du12";72;73
62403;62;"en";57;52
62403;62;"gs1";73;61
62403;62;"gs";60;0
62403;62;"wa1";60;0
62403;62;"bi1";62;58
62403;62;"anw";60;0
62403;62;"ma1";72;57
62403;62;"lo1";NA;0
62403;62;"lett";68;50
62403;62;"kcv";58;61
62403;62;"bv23";70;0
62775;74;"ne";80;49
62775;74;"fa1";83;0
62775;74;"du1";56;55
62775;74;"en";80;88
62775;74;"gs1";74;76
62775;74;"wb1";79;0
62775;74;"na12";81;0
62775;74;"sk12";78;0
62775;74;"bi12";77;75
62775;74;"anw";68;0
62775;74;"ma1";80;65
62775;74;"lo1";NA;0
62775;74;"lett";56;0
62775;74;"ckv1";NA;0
92163;62;"ne";70;0
92163;62;"fa12";70;0
92163;62;"du1";62;60
92163;62;"en";76;49
92163;62;"gs1";54;52
92163;62;"gs";51;42
92163;62;"ak";63;59
92163;62;"wa1";60;0
92163;62;"m&o";70;0
92163;62;"anw";68;52
92163;62;"ma1";63;0
92163;62;"ma";69;68
92163;62;"lo1";NA;0
92163;62;"lett";70;53
92163;62;"ckv1";NA;0
108960;61;"ne";57;60
108960;61;"du1";80;0
108960;61;"en";60;0
108960;61;"wb1";70;0
108960;61;"na1";66;58
108960;61;"sk";60;0
108960;61;"bi";58;43
108960;61;"anw";61;45
108960;61;"ma1";53;45
108960;61;"lo1";NA;0
108960;61;"lo2";60;0
108960;61;"lett";58;58
108960;61;"ckv1";NA;0
61115;65;"ne";60;84
61115;65;"du1";71;62
61115;65;"en";57;0
61115;65;"gs";66;75
61115;65;"ak";60;65
61115;65;"wa12";74;56
61115;65;"ec12";73;0
61115;65;"m&o";62;59
61115;65;"anw";66;0
61115;65;"ma1";59;55
61115;65;"lo1";NA;0
61115;65;"lett";61;0
61115;65;"ckv1";NA;0
133323;63;"ne";64;52
133323;63;"fa1";76;74
133323;63;"du1";64;0
133323;63;"en";56;69
133323;63;"gs1";74;0
133323;63;"wb12";64;65
133323;63;"na1";62;0
133323;63;"sk1";67;0
133323;63;"bi12";66;59
133323;63;"anw";67;70
133323;63;"fi";55;69
133323;63;"ma1";54;0
133323;63;"lo1";NA;0
133323;63;"lett";67;0
133323;63;"ckv1";NA;0
8366;63;"ne";65;62
8366;63;"fa1";60;67
8366;63;"du1";66;58
8366;63;"en";61;0
8366;63;"gs1";68;0
8366;63;"gs";62;0
8366;63;"ak";71;64
8366;63;"wa12";60;0
8366;63;"ec12";70;0
8366;63;"m&o";61;61
8366;63;"anw";64;73
8366;63;"ma1";57;0
8366;63;"lo1";NA;0
8366;63;"lett";66;58
8366;63;"ckv1";NA;0
85522;69;"ne";87;58
85522;69;"du";70;73
85522;69;"en";79;60
85522;69;"gs";88;70
85522;69;"wa";68;59
85522;69;"bi";67;64
85522;69;"ec";61;54
93713;63;"ne";63;0
93713;63;"fa12";63;0
93713;63;"du12";53;43
93713;63;"en";65;67
93713;63;"gs1";79;75
93713;63;"gs";61;62
93713;63;"wa12";65;0
93713;63;"ec1";60;60
93713;63;"anw";58;43
93713;63;"ma1";65;65
93713;63;"lo1";NA;0
93713;63;"lett";60;0
93713;63;"ckv1";NA;0
93713;63;"mu23";72;0
100886;61;"ne";61;59
100886;61;"du";51;52
100886;61;"en";57;60
100886;61;"gs";68;72
100886;61;"wa";59;62
100886;61;"ee";60;53
100886;61;"et";74;63
115979;65;"ne";66;0
115979;65;"fa1";65;0
115979;65;"du1";69;51
115979;65;"en";63;56
115979;65;"gs1";67;51
115979;65;"wb1";63;67
115979;65;"in";62;0
115979;65;"na1";61;0
115979;65;"sk1";61;0
115979;65;"bi12";65;0
115979;65;"anw";63;73
115979;65;"ma1";65;0
115979;65;"lo1";NA;0
115979;65;"lett";67;64
115979;65;"ckv1";NA;0
120305;61;"ne";53;58
120305;61;"en";56;60
120305;61;"ak";80;65
120305;61;"wa";67;52
120305;61;"wb";63;48
120305;61;"sk";61;61
120305;61;"bi";59;59
64366;80;"ne";76;78
64366;80;"la";89;77
64366;80;"gr";75;82
64366;80;"fa12";87;79
64366;80;"du12";80;0
64366;80;"en";72;64
64366;80;"gs1";88;71
64366;80;"gs";83;68
64366;80;"ak";82;0
64366;80;"wa1";81;0
64366;80;"anw";81;74
64366;80;"ma1";77;58
64366;80;"lo1";NA;0
64366;80;"lett";85;0
64366;80;"kcv";86;0
62126;70;"ne";72;61
62126;70;"fa12";74;0
62126;70;"du12";64;38
62126;70;"en";81;82
62126;70;"gs1";70;0
62126;70;"gs";76;0
62126;70;"wa12";66;0
62126;70;"ec1";62;76
62126;70;"anw";75;77
62126;70;"ma1";67;52
62126;70;"lo1";NA;0
62126;70;"lett";73;53
62126;70;"ckv1";NA;0
62126;70;"bv23";83;0
93179;69;"ne";65;57
93179;69;"fa1";60;0
93179;69;"du1";59;59
93179;69;"en";70;0
93179;69;"gs1";71;0
93179;69;"wb1";66;70
93179;69;"na1";67;76
93179;69;"sk1";75;0
93179;69;"bi12";92;0
93179;69;"anw";70;58
93179;69;"ma1";66;44
93179;69;"lo1";NA;0
93179;69;"lett";86;0
93179;69;"ckv1";NA;0
93179;69;"bv3";64;0
45752;69;"ne";63;60
45752;69;"en";53;60
45752;69;"gs";85;79
45752;69;"wa";72;83
45752;69;"wb";67;50
45752;69;"na";70;75
45752;69;"sk";64;73
45752;69;"bi";72;68
111218;63;"ne";62;0
111218;63;"fa1";NA;0
111218;63;"du1";NA;0
111218;63;"en";68;0
111218;63;"gs1";70;40
111218;63;"wb1";64;55
111218;63;"na1";62;55
111218;63;"sk12";55;60
111218;63;"bi12";58;0
111218;63;"anw";59;66
111218;63;"ma1";75;0
111218;63;"lo1";NA;0
111218;63;"lett";58;63
111218;63;"ckv1";NA;0
14318;76;"ne";84;81
14318;76;"fa12";85;0
14318;76;"du12";81;72
14318;76;"en";77;0
14318;76;"gs1";77;0
14318;76;"gs";69;0
14318;76;"wa1";77;78
14318;76;"in";82;0
14318;76;"ec1";75;62
14318;76;"anw";73;70
14318;76;"ma1";75;65
14318;76;"lo1";NA;0
14318;76;"lett";79;64
14318;76;"ckv1";NA;0
14318;76;"bv23";75;0
86797;61;"ne";76;61
86797;61;"fa1";60;0
86797;61;"du1";62;49
86797;61;"en";60;53
86797;61;"gs1";70;0
86797;61;"wb1";69;51
86797;61;"na1";40;0
86797;61;"sk1";71;64
86797;61;"bi12";60;0
86797;61;"ec1";60;0
86797;61;"m&o";62;54
86797;61;"anw";70;0
86797;61;"ma1";67;60
86797;61;"lo1";NA;0
86797;61;"lett";63;59
86797;61;"ckv1";NA;0
1707;70;"ne";62;52
1707;70;"la";72;70
1707;70;"fa";72;61
1707;70;"du";60;52
1707;70;"en";85;80
1707;70;"gs";74;79
1707;70;"bi";77;68
63873;70;"ne";67;72
63873;70;"fa";45;56
63873;70;"du";73;67
63873;70;"en";72;78
63873;70;"wa";69;66
63873;70;"wb";67;69
63873;70;"ee";71;82
63873;70;"et";60;78
96761;59;"ne";55;0
96761;59;"fa12";53;0
96761;59;"en";55;46
96761;59;"sp1";59;67
96761;59;"gs";60;53
96761;59;"wa1";54;48
96761;59;"ec1";61;55
96761;59;"ha";67;55
96761;59;"anw";58;0
96761;59;"ma1";59;0
96761;59;"lo1";NA;0
96761;59;"lett";60;0
96761;59;"ckv1";NA;0
6485;62;"ne";71;55
6485;62;"en";70;69
6485;62;"wb";58;54
6485;62;"na";59;58
6485;62;"sk";70;47
6485;62;"bi";57;54
130;88;"ne";87;76
130;88;"la";90;0
130;88;"gr";80;0
130;88;"fa12";90;0
130;88;"du12";86;96
130;88;"en";83;83
130;88;"gs1";94;90
130;88;"gs";91;97
130;88;"ak";84;89
130;88;"wb1";100;0
130;88;"anw";89;85
130;88;"ma1";90;0
130;88;"lo1";NA;0
130;88;"lett";94;92
130;88;"kcv";86;96
80306;65;"ne";68;86
80306;65;"fa12";63;42
80306;65;"en";63;66
80306;65;"gs";80;0
80306;65;"ak";54;65
80306;65;"wa12";63;52
80306;65;"ec12";75;0
80306;65;"anw";68;43
80306;65;"ma1";63;64
80306;65;"lo1";NA;0
80306;65;"lett";60;0
80306;65;"ckv1";NA;0
136362;70;"ne";75;56
136362;70;"fa1";70;0
136362;70;"du1";70;74
136362;70;"en";82;72
136362;70;"gs1";NA;0
136362;70;"wb12";73;60
136362;70;"na12";67;84
136362;70;"sk1";69;66
136362;70;"bi12";70;0
136362;70;"anw";NA;0
136362;70;"ma1";NA;0
136362;70;"lo1";NA;0
136362;70;"lett";80;0
136362;70;"ckv1";NA;0
136362;73;"ne";75;56
136362;73;"fa1";70;0
136362;73;"du1";70;74
136362;73;"en";82;72
136362;73;"wb12";73;60
136362;73;"na12";67;84
136362;73;"sk";77;78
136362;73;"bi";65;60
136362;73;"anw";60;0
136362;73;"ma1";67;78
136362;73;"lo1";NA;0
136362;73;"lett";80;0
136362;73;"ckv1";NA;0
110743;73;"ne";71;0
110743;73;"la";71;0
110743;73;"fa1";76;0
110743;73;"du1";73;0
110743;73;"en";82;0
110743;73;"gs1";79;76
110743;73;"gs";70;87
110743;73;"ak";77;0
110743;73;"wa12";59;67
110743;73;"in";79;63
110743;73;"ec12";67;73
110743;73;"anw";65;72
110743;73;"ma1";68;0
110743;73;"lo1";NA;0
110743;73;"lett";76;69
110743;73;"kcv";75;0
53356;61;"fa";63;59
53356;61;"du";75;69
53356;61;"en";61;68
53356;61;"gs";69;46
53356;61;"ee";57;59
53356;61;"te";69;61
75193;76;"ne";76;78
75193;76;"la";70;0
75193;76;"fa1";85;80
75193;76;"du12";78;84
75193;76;"en";70;0
75193;76;"gs1";83;61
75193;76;"gs";78;0
75193;76;"ak";80;0
75193;76;"wa12";68;72
75193;76;"ec12";71;86
75193;76;"m&o";80;0
75193;76;"anw";77;79
75193;76;"ma1";80;67
75193;76;"lo1";NA;0
75193;76;"lett";70;0
75193;76;"kcv";80;89
102334;66;"ne";86;63
102334;66;"fa";68;41
102334;66;"en";76;63
102334;66;"gs";76;70
102334;66;"ak";65;40
102334;66;"wa";88;62
102334;66;"et";71;50
99622;68;"ne";79;64
99622;68;"en";72;63
99622;68;"wb";77;79
99622;68;"na";57;50
99622;68;"ec";69;58
99622;68;"hr";84;70
3087;74;"ne";76;69
3087;74;"fa";73;67
3087;74;"du";87;69
3087;74;"en";79;67
3087;74;"wa";76;74
3087;74;"wb";77;85
3087;74;"ee";64;78
3087;74;"et";71;73
115608;66;"ne";65;74
115608;66;"fa";63;70
115608;66;"en";70;55
115608;66;"wb";73;58
115608;66;"na";68;69
115608;66;"sk";71;72
115608;66;"bi";59;49
130554;62;"ne";56;65
130554;62;"fa1";61;76
130554;62;"en";57;0
130554;62;"gs";56;47
130554;62;"ak";56;41
130554;62;"wa12";59;69
130554;62;"ec12";66;0
130554;62;"m&o";68;75
130554;62;"anw";66;0
130554;62;"ma1";56;59
130554;62;"lo1";NA;0
130554;62;"lett";60;0
130554;62;"ckv1";NA;0
83144;67;"ne";65;61
83144;67;"du1";66;63
83144;67;"en";71;43
83144;67;"gs";56;0
83144;67;"ak";76;66
83144;67;"wa12";74;78
83144;67;"ec12";67;0
83144;67;"m&o";77;64
83144;67;"anw";65;0
83144;67;"ma1";66;0
83144;67;"lo1";NA;0
83144;67;"lett";76;71
83144;67;"ckv1";NA;0
58077;68;"ne";61;57
58077;68;"fa1";71;0
58077;68;"en";73;75
58077;68;"gs";75;0
58077;68;"ak";71;0
58077;68;"wa12";59;0
58077;68;"bi";68;65
58077;68;"ec12";76;53
58077;68;"anw";77;73
58077;68;"ma1";58;62
58077;68;"lo1";NA;0
58077;68;"lett";64;72
58077;68;"ckv1";NA;0
107659;68;"ne";66;0
107659;68;"fa1";60;0
107659;68;"du1";70;63
107659;68;"en";73;80
107659;68;"gs1";74;73
107659;68;"wb1";67;52
107659;68;"na1";69;0
107659;68;"sk1";79;67
107659;68;"bi12";71;0
107659;68;"ec1";60;64
107659;68;"m&o";65;68
107659;68;"anw";70;77
107659;68;"ma1";71;0
107659;68;"lo1";NA;0
107659;68;"lett";74;0
107659;68;"ckv1";NA;0
105213;67;"ne";65;0
105213;67;"fa12";76;0
105213;67;"du12";72;69
105213;67;"en";60;0
105213;67;"gs1";72;69
105213;67;"gs";69;59
105213;67;"wb1";70;65
105213;67;"na1";63;0
105213;67;"anw";81;0
105213;67;"ma1";74;74
105213;67;"lo1";NA;0
105213;67;"lett";69;58
105213;67;"ckv1";NA;0
105213;67;"bv23";70;45
92800;63;"ne";52;53
92800;63;"fa1";67;59
92800;63;"du1";67;63
92800;63;"en";64;0
92800;63;"sp-e";62;0
92800;63;"gs1";71;0
92800;63;"wb1";69;53
92800;63;"na1";76;0
92800;63;"sk1";56;0
92800;63;"bi12";60;0
92800;63;"anw";71;55
92800;63;"ma1";68;62
92800;63;"lo1";NA;0
92800;63;"lett";65;0
92800;63;"ckv1";NA;0
91503;63;"ne";56;64
91503;63;"fa1";71;55
91503;63;"du1";55;51
91503;63;"en";70;0
91503;63;"gs1";60;0
91503;63;"wb12";70;0
91503;63;"na12";83;70
91503;63;"sk12";64;63
91503;63;"bi1";58;56
91503;63;"anw";60;0
91503;63;"fi";70;0
91503;63;"ma1";70;0
91503;63;"lo1";NA;0
91503;63;"lett";60;0
91503;63;"ckv1";NA;0
60074;66;"ne";60;0
60074;66;"la";68;76
60074;66;"fa1";68;71
60074;66;"du1";65;0
60074;66;"en";61;66
60074;66;"gs1";65;0
60074;66;"wb1";70;0
60074;66;"na1";59;66
60074;66;"sk1";65;70
60074;66;"bi12";67;69
60074;66;"anw";56;0
60074;66;"fi";57;58
60074;66;"ma1";63;0
60074;66;"lo1";NA;0
60074;66;"lett";66;0
60074;66;"kcv";65;79
83542;62;"ne";60;0
83542;62;"fa1";70;0
83542;62;"du1";56;54
83542;62;"en";70;0
83542;62;"gs1";60;0
83542;62;"gs";55;46
83542;62;"ak";53;46
83542;62;"wa12";59;55
83542;62;"bi1";58;63
83542;62;"ec12";60;0
83542;62;"m&o";70;0
83542;62;"anw";55;68
83542;62;"ma1";54;50
83542;62;"ma";63;57
83542;62;"lo1";NA;0
83542;62;"lett";70;0
83542;62;"ckv1";NA;0
77418;67;"ne";63;51
77418;67;"fa";79;87
77418;67;"en";62;65
77418;67;"ak";79;59
77418;67;"wa";68;55
77418;67;"ee";70;73
77418;67;"et";62;71
35144;68;"ne";71;54
35144;68;"fa";61;60
35144;68;"du";75;66
35144;68;"en";70;65
35144;68;"wb";81;64
35144;68;"na";82;82
139779;67;"ne";80;0
139779;67;"gr";53;51
139779;67;"fa1";79;63
139779;67;"du1";74;66
139779;67;"en";74;0
139779;67;"gs1";46;62
139779;67;"gs";60;0
139779;67;"wb1";65;64
139779;67;"na12";57;0
139779;67;"sk12";66;70
139779;67;"bi12";70;72
139779;67;"anw";79;77
139779;67;"ma1";74;0
139779;67;"lo1";NA;0
139779;67;"lett";76;0
139779;67;"kcv";70;0
50004;63;"ne";62;0
50004;63;"en";53;57
50004;63;"sp1";59;0
50004;63;"wb1";57;56
50004;63;"na1";70;0
50004;63;"sk";55;76
50004;63;"bi";64;56
50004;63;"ec1";72;0
50004;63;"anw";62;56
50004;63;"ma1";59;58
50004;63;"lo1";NA;0
50004;63;"lett";65;78
50004;63;"ckv1";NA;0
67852;68;"ne";67;61
67852;68;"en";66;82
67852;68;"wa";75;88
67852;68;"ec";80;67
67852;68;"hr";74;60
67852;68;"mu";66;60
66121;69;"ne";67;43
66121;69;"fa1";73;82
66121;69;"du1";77;83
66121;69;"en";60;0
66121;69;"gs1";65;52
66121;69;"ak";70;0
66121;69;"wb1";60;0
66121;69;"na1";79;85
66121;69;"sk1";78;64
66121;69;"bi12";70;0
66121;69;"anw";70;0
66121;69;"ma1";73;68
66121;69;"lo1";NA;0
66121;69;"lett";70;0
66121;69;"ckv1";NA;0
78635;66;"ne";57;59
78635;66;"du";59;55
78635;66;"en";65;66
78635;66;"wa";59;76
78635;66;"na";57;56
78635;66;"sk";69;72
78635;66;"et";74;75
113513;72;"ne";70;0
113513;72;"fa1";74;67
113513;72;"en";75;0
113513;72;"gs";69;71
113513;72;"ak";75;65
113513;72;"wa12";75;60
113513;72;"ec12";73;0
113513;72;"m&o";74;81
113513;72;"anw";81;0
113513;72;"ma1";73;69
113513;72;"lo1";NA;0
113513;72;"lett";74;66
113513;72;"ckv1";NA;0
131676;63;"ne";71;56
131676;63;"du";76;75
131676;63;"en";71;56
131676;63;"gs";55;46
131676;63;"ak";44;46
131676;63;"wa";65;84
131676;63;"ma";72;61
106883;63;"ne";50;0
106883;63;"du1";60;47
106883;63;"en";77;74
106883;63;"gs";60;0
106883;63;"wb1";65;59
106883;63;"na1";80;0
106883;63;"sk";52;66
106883;63;"bi";60;0
106883;63;"anw";53;68
106883;63;"ma1";60;0
106883;63;"lo1";NA;0
106883;63;"lo2";66;73
106883;63;"lett";70;74
106883;63;"ckv1";NA;0
129123;60;"ne";67;67
129123;60;"du";56;54
129123;60;"en";68;37
129123;60;"gs";69;72
129123;60;"ak";46;55
129123;60;"wa";57;54
129123;60;"et";65;37
66976;64;"ne";59;46
66976;64;"fa";73;65
66976;64;"du";55;39
66976;64;"en";68;63
66976;64;"gs";81;51
66976;64;"ak";68;69
66976;64;"ma";73;61
35411;77;"ne";80;80
35411;77;"fa1";73;70
35411;77;"du1";70;60
35411;77;"en";90;0
35411;77;"gs1";82;0
35411;77;"wb12";77;61
35411;77;"na12";64;75
35411;77;"sk12";80;0
35411;77;"ec1";68;0
35411;77;"anw";70;70
35411;77;"ma1";88;0
35411;77;"lo1";NA;0
35411;77;"lett";86;0
35411;77;"ckv1";NA;0
35411;77;"bv23";73;0
77147;69;"ne";63;55
77147;69;"fa";66;75
77147;69;"en";77;73
77147;69;"wa";69;66
77147;69;"sk";62;61
